League_Name,Home_Team_Goal,Away_Team_Goal
Belgium Jupiler League,1,1
Belgium Jupiler League,3,2
Belgium Jupiler League,1,2
Belgium Jupiler League,1,0
Belgium Jupiler League,2,2
Belgium Jupiler League,3,1
Belgium Jupiler League,3,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,0
Belgium Jupiler League,2,1
Belgium Jupiler League,4,2
Belgium Jupiler League,1,0
Belgium Jupiler League,2,1
Belgium Jupiler League,3,1
Belgium Jupiler League,3,1
Belgium Jupiler League,1,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,3,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,1,2
Belgium Jupiler League,1,1
Belgium Jupiler League,2,3
Belgium Jupiler League,3,2
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,4,0
Belgium Jupiler League,3,1
Belgium Jupiler League,1,3
Belgium Jupiler League,2,0
Belgium Jupiler League,1,0
Belgium Jupiler League,3,4
Belgium Jupiler League,1,3
Belgium Jupiler League,3,1
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,1,1
Belgium Jupiler League,3,0
Belgium Jupiler League,0,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,0
Belgium Jupiler League,5,1
Belgium Jupiler League,2,0
Belgium Jupiler League,0,0
Belgium Jupiler League,2,1
Belgium Jupiler League,3,2
Belgium Jupiler League,0,0
Belgium Jupiler League,3,4
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,0,0
Belgium Jupiler League,2,0
Belgium Jupiler League,0,1
Belgium Jupiler League,6,1
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,3,3
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,2,4
Belgium Jupiler League,5,2
Belgium Jupiler League,0,1
Belgium Jupiler League,4,2
Belgium Jupiler League,3,1
Belgium Jupiler League,2,0
Belgium Jupiler League,3,3
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,4
Belgium Jupiler League,3,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,2
Belgium Jupiler League,2,2
Belgium Jupiler League,2,0
Belgium Jupiler League,3,0
Belgium Jupiler League,0,1
Belgium Jupiler League,0,3
Belgium Jupiler League,4,1
Belgium Jupiler League,0,1
Belgium Jupiler League,3,1
Belgium Jupiler League,1,2
Belgium Jupiler League,2,3
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,3
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,3,0
Belgium Jupiler League,0,2
Belgium Jupiler League,5,0
Belgium Jupiler League,0,2
Belgium Jupiler League,4,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,0
Belgium Jupiler League,3,2
Belgium Jupiler League,1,0
Belgium Jupiler League,3,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,1,2
Belgium Jupiler League,0,2
Belgium Jupiler League,4,1
Belgium Jupiler League,1,4
Belgium Jupiler League,3,2
Belgium Jupiler League,6,1
Belgium Jupiler League,5,1
Belgium Jupiler League,1,1
Belgium Jupiler League,0,0
Belgium Jupiler League,2,1
Belgium Jupiler League,1,3
Belgium Jupiler League,0,0
Belgium Jupiler League,2,2
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,3
Belgium Jupiler League,1,0
Belgium Jupiler League,2,0
Belgium Jupiler League,2,6
Belgium Jupiler League,3,1
Belgium Jupiler League,1,0
Belgium Jupiler League,3,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,4
Belgium Jupiler League,3,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,2
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,0,0
Belgium Jupiler League,1,1
Belgium Jupiler League,3,4
Belgium Jupiler League,0,3
Belgium Jupiler League,0,2
Belgium Jupiler League,6,1
Belgium Jupiler League,4,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,7
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,0,5
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,0,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,2
Belgium Jupiler League,2,2
Belgium Jupiler League,0,0
Belgium Jupiler League,0,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,0
Belgium Jupiler League,2,1
Belgium Jupiler League,1,0
Belgium Jupiler League,3,2
Belgium Jupiler League,2,2
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,1,3
Belgium Jupiler League,2,4
Belgium Jupiler League,1,2
Belgium Jupiler League,0,2
Belgium Jupiler League,2,2
Belgium Jupiler League,2,3
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,0
Belgium Jupiler League,4,1
Belgium Jupiler League,3,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,3,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,3,1
Belgium Jupiler League,0,0
Belgium Jupiler League,2,6
Belgium Jupiler League,4,0
Belgium Jupiler League,0,0
Belgium Jupiler League,2,3
Belgium Jupiler League,0,3
Belgium Jupiler League,0,0
Belgium Jupiler League,2,0
Belgium Jupiler League,0,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,0,2
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,2,2
Belgium Jupiler League,4,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,0
Belgium Jupiler League,2,1
Belgium Jupiler League,1,1
Belgium Jupiler League,3,0
Belgium Jupiler League,1,2
Belgium Jupiler League,3,1
Belgium Jupiler League,0,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,0
Belgium Jupiler League,2,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,0,2
Belgium Jupiler League,0,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,3
Belgium Jupiler League,0,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,2
Belgium Jupiler League,0,0
Belgium Jupiler League,1,0
Belgium Jupiler League,3,2
Belgium Jupiler League,1,2
Belgium Jupiler League,0,4
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,3,2
Belgium Jupiler League,1,3
Belgium Jupiler League,3,1
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,3,3
Belgium Jupiler League,1,1
Belgium Jupiler League,0,3
Belgium Jupiler League,3,0
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,3,1
Belgium Jupiler League,3,0
Belgium Jupiler League,0,0
Belgium Jupiler League,2,3
Belgium Jupiler League,1,5
Belgium Jupiler League,3,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,6
Belgium Jupiler League,2,0
Belgium Jupiler League,3,2
Belgium Jupiler League,2,1
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,3,2
Belgium Jupiler League,2,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,3
Belgium Jupiler League,0,3
Belgium Jupiler League,4,2
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,2,4
Belgium Jupiler League,0,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,3,2
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,2,3
Belgium Jupiler League,0,1
Belgium Jupiler League,4,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,1,2
Belgium Jupiler League,2,3
Belgium Jupiler League,2,2
Belgium Jupiler League,3,0
Belgium Jupiler League,1,1
Belgium Jupiler League,3,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,2
Belgium Jupiler League,5,2
Belgium Jupiler League,2,1
Belgium Jupiler League,1,4
Belgium Jupiler League,1,0
Belgium Jupiler League,1,0
Belgium Jupiler League,2,0
Belgium Jupiler League,0,1
Belgium Jupiler League,1,0
Belgium Jupiler League,0,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,2,4
Belgium Jupiler League,0,2
Belgium Jupiler League,4,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,4,0
Belgium Jupiler League,3,0
Belgium Jupiler League,0,2
Belgium Jupiler League,0,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,0
Belgium Jupiler League,3,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,0
Belgium Jupiler League,3,0
Belgium Jupiler League,0,0
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,3,1
Belgium Jupiler League,3,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,2
Belgium Jupiler League,3,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,0
Belgium Jupiler League,1,3
Belgium Jupiler League,2,1
Belgium Jupiler League,1,1
Belgium Jupiler League,1,2
Belgium Jupiler League,2,2
Belgium Jupiler League,0,2
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,2
Belgium Jupiler League,0,1
Belgium Jupiler League,2,1
Belgium Jupiler League,0,1
Belgium Jupiler League,3,0
Belgium Jupiler League,4,1
Belgium Jupiler League,4,0
Belgium Jupiler League,1,4
Belgium Jupiler League,5,2
Belgium Jupiler League,2,3
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,2,0
Belgium Jupiler League,0,0
Belgium Jupiler League,2,0
Belgium Jupiler League,0,1
Belgium Jupiler League,1,3
Belgium Jupiler League,1,0
Belgium Jupiler League,0,4
Belgium Jupiler League,5,0
Belgium Jupiler League,0,2
Belgium Jupiler League,0,2
Belgium Jupiler League,1,3
Belgium Jupiler League,0,2
Belgium Jupiler League,3,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,0,0
Belgium Jupiler League,3,1
Belgium Jupiler League,4,2
Belgium Jupiler League,3,0
Belgium Jupiler League,4,0
Belgium Jupiler League,3,2
Belgium Jupiler League,3,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,2
Belgium Jupiler League,2,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,3
Belgium Jupiler League,2,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,1
Belgium Jupiler League,0,0
Belgium Jupiler League,2,1
Belgium Jupiler League,0,1
Belgium Jupiler League,4,2
Belgium Jupiler League,0,0
Belgium Jupiler League,3,0
Belgium Jupiler League,1,2
Belgium Jupiler League,3,0
Belgium Jupiler League,1,3
Belgium Jupiler League,3,0
Belgium Jupiler League,1,0
Belgium Jupiler League,0,0
Belgium Jupiler League,3,3
Belgium Jupiler League,1,3
Belgium Jupiler League,2,1
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,3,1
Belgium Jupiler League,0,2
Belgium Jupiler League,2,3
Belgium Jupiler League,1,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,3
Belgium Jupiler League,4,1
Belgium Jupiler League,1,2
Belgium Jupiler League,2,0
Belgium Jupiler League,6,0
Belgium Jupiler League,0,1
Belgium Jupiler League,1,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,4,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,1,3
Belgium Jupiler League,2,3
Belgium Jupiler League,1,0
Belgium Jupiler League,0,6
Belgium Jupiler League,1,0
Belgium Jupiler League,1,1
Belgium Jupiler League,3,0
Belgium Jupiler League,1,7
Belgium Jupiler League,0,2
Belgium Jupiler League,1,3
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,1,3
Belgium Jupiler League,2,0
Belgium Jupiler League,2,0
Belgium Jupiler League,3,1
Belgium Jupiler League,1,3
Belgium Jupiler League,0,0
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,0,3
Belgium Jupiler League,2,0
Belgium Jupiler League,0,0
Belgium Jupiler League,1,0
Belgium Jupiler League,0,3
Belgium Jupiler League,3,3
Belgium Jupiler League,2,3
Belgium Jupiler League,1,0
Belgium Jupiler League,2,2
Belgium Jupiler League,3,0
Belgium Jupiler League,1,0
Belgium Jupiler League,4,0
Belgium Jupiler League,0,1
Belgium Jupiler League,2,3
Belgium Jupiler League,2,0
Belgium Jupiler League,0,0
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,2
Belgium Jupiler League,1,0
Belgium Jupiler League,3,2
Belgium Jupiler League,0,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,3
Belgium Jupiler League,1,0
Belgium Jupiler League,6,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,2
Belgium Jupiler League,3,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,0
Belgium Jupiler League,2,3
Belgium Jupiler League,0,2
Belgium Jupiler League,3,0
Belgium Jupiler League,0,1
Belgium Jupiler League,1,0
Belgium Jupiler League,3,2
Belgium Jupiler League,2,1
Belgium Jupiler League,4,3
Belgium Jupiler League,1,0
Belgium Jupiler League,1,2
Belgium Jupiler League,1,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,0
Belgium Jupiler League,0,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,1
Belgium Jupiler League,1,2
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,1,4
Belgium Jupiler League,1,0
Belgium Jupiler League,1,3
Belgium Jupiler League,2,3
Belgium Jupiler League,0,0
Belgium Jupiler League,0,0
Belgium Jupiler League,1,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,0
Belgium Jupiler League,2,2
Belgium Jupiler League,5,2
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,1,0
Belgium Jupiler League,2,2
Belgium Jupiler League,3,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,3,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,0
Belgium Jupiler League,2,2
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,2,0
Belgium Jupiler League,4,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,2,0
Belgium Jupiler League,3,5
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,1,4
Belgium Jupiler League,2,3
Belgium Jupiler League,5,2
Belgium Jupiler League,2,2
Belgium Jupiler League,1,0
Belgium Jupiler League,5,0
Belgium Jupiler League,3,2
Belgium Jupiler League,1,3
Belgium Jupiler League,2,1
Belgium Jupiler League,1,2
Belgium Jupiler League,3,2
Belgium Jupiler League,6,1
Belgium Jupiler League,0,2
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,2
Belgium Jupiler League,3,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,2,1
Belgium Jupiler League,3,1
Belgium Jupiler League,3,1
Belgium Jupiler League,3,1
Belgium Jupiler League,1,1
Belgium Jupiler League,3,2
Belgium Jupiler League,2,1
Belgium Jupiler League,1,1
Belgium Jupiler League,4,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,0
Belgium Jupiler League,3,0
Belgium Jupiler League,1,1
Belgium Jupiler League,1,1
Belgium Jupiler League,1,3
Belgium Jupiler League,1,0
Belgium Jupiler League,1,2
Belgium Jupiler League,3,0
Belgium Jupiler League,0,4
Belgium Jupiler League,1,2
Belgium Jupiler League,1,2
Belgium Jupiler League,2,0
Belgium Jupiler League,0,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,4
Belgium Jupiler League,3,4
Belgium Jupiler League,2,3
Belgium Jupiler League,0,2
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,2,0
Belgium Jupiler League,2,1
Belgium Jupiler League,3,2
Belgium Jupiler League,4,0
Belgium Jupiler League,2,2
Belgium Jupiler League,1,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,0
Belgium Jupiler League,0,2
Belgium Jupiler League,2,0
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,0,2
Belgium Jupiler League,0,2
Belgium Jupiler League,1,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,3
Belgium Jupiler League,3,0
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,1,0
Belgium Jupiler League,2,2
Belgium Jupiler League,3,0
Belgium Jupiler League,1,1
Belgium Jupiler League,5,0
Belgium Jupiler League,2,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,1,3
Belgium Jupiler League,2,1
Belgium Jupiler League,3,2
Belgium Jupiler League,0,1
Belgium Jupiler League,1,4
Belgium Jupiler League,2,3
Belgium Jupiler League,3,1
Belgium Jupiler League,1,2
Belgium Jupiler League,0,1
Belgium Jupiler League,0,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,2
Belgium Jupiler League,0,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,3
Belgium Jupiler League,3,1
Belgium Jupiler League,5,1
Belgium Jupiler League,0,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,0
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,3
Belgium Jupiler League,2,1
Belgium Jupiler League,0,0
Belgium Jupiler League,0,2
Belgium Jupiler League,1,0
Belgium Jupiler League,3,0
Belgium Jupiler League,2,1
Belgium Jupiler League,2,1
Belgium Jupiler League,0,2
Belgium Jupiler League,2,2
Belgium Jupiler League,2,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,4
Belgium Jupiler League,3,0
Belgium Jupiler League,3,0
Belgium Jupiler League,4,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,3,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,1
Belgium Jupiler League,3,0
Belgium Jupiler League,2,0
Belgium Jupiler League,1,0
Belgium Jupiler League,1,4
Belgium Jupiler League,1,0
Belgium Jupiler League,2,3
Belgium Jupiler League,2,2
Belgium Jupiler League,3,0
Belgium Jupiler League,2,0
Belgium Jupiler League,2,1
Belgium Jupiler League,3,3
Belgium Jupiler League,0,2
Belgium Jupiler League,0,0
Belgium Jupiler League,1,0
Belgium Jupiler League,3,2
Belgium Jupiler League,2,1
Belgium Jupiler League,0,3
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,2
Belgium Jupiler League,1,2
Belgium Jupiler League,2,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,0
Belgium Jupiler League,3,3
Belgium Jupiler League,3,2
Belgium Jupiler League,0,2
Belgium Jupiler League,1,2
Belgium Jupiler League,1,2
Belgium Jupiler League,1,0
Belgium Jupiler League,1,2
Belgium Jupiler League,2,2
Belgium Jupiler League,2,3
Belgium Jupiler League,0,1
Belgium Jupiler League,0,1
Belgium Jupiler League,1,1
Belgium Jupiler League,2,2
Belgium Jupiler League,3,0
Belgium Jupiler League,2,0
Belgium Jupiler League,6,1
Belgium Jupiler League,0,2
Belgium Jupiler League,1,1
Belgium Jupiler League,3,3
Belgium Jupiler League,2,0
Belgium Jupiler League,0,3
Belgium Jupiler League,6,0
Belgium Jupiler League,3,0
Belgium Jupiler League,5,2
Belgium Jupiler League,2,3
Belgium Jupiler League,3,1
Belgium Jupiler League,0,0
Belgium Jupiler League,3,0
Belgium Jupiler League,1,0
Belgium Jupiler League,3,3
Belgium Jupiler League,3,1
Belgium Jupiler League,3,2
Belgium Jupiler League,0,2
Belgium Jupiler League,2,3
Belgium Jupiler League,4,1
Belgium Jupiler League,2,2
Belgium Jupiler League,1,2
Belgium Jupiler League,3,0
Belgium Jupiler League,2,1
Belgium Jupiler League,1,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,1
Belgium Jupiler League,2,1
Belgium Jupiler League,1,0
Belgium Jupiler League,0,0
Belgium Jupiler League,0,0
Belgium Jupiler League,0,0
